mode,brand,fuel_type,kilometers_driven,mileage,owner_type,power,price,seats,transmission,year
AUDI A6,AUDI,Diesel,31652,17.68,First,174.33,26.78,5,Automatic,2015
AUDI A6,AUDI,Diesel,61726,17.68,First,174.33,20.77,5,Automatic,2014
AUDI A6,AUDI,Diesel,51495,17.68,First,174.33,21.95,5,Automatic,2014
AUDI A6,AUDI,Petrol,47000,15.26,First,187.74,24.5,5,Automatic,2016
AUDI A6,AUDI,Diesel,41041,17.68,First,174.33,37.56,5,Automatic,2017
AUDI A6,AUDI,Diesel,202082,17.68,First,174.33,12.3,5,Automatic,2012
AUDI A6,AUDI,Petrol,58953,13.53,First,177.01,24.22,5,Automatic,2016
AUDI A6,AUDI,Diesel,49964,17.68,First,174.33,23.89,5,Automatic,2014
AUDI A6,AUDI,Diesel,48000,18.53,First,187.74,29,5,Automatic,2014
AUDI A6,AUDI,Diesel,31000,17.68,First,174.33,18.95,5,Automatic,2013
AUDI A6,AUDI,Diesel,48040,16.77,Second,241.38,12.07,5,Automatic,2009
AUDI A6,AUDI,Diesel,70181,17.68,First,174.33,23.99,5,Automatic,2013
AUDI A6,AUDI,Diesel,57456,17.68,First,174.33,21.56,5,Automatic,2014
AUDI A6,AUDI,Diesel,62012,17.68,First,174.33,20.12,5,Automatic,2014
AUDI A6,AUDI,Diesel,30000,12.4,First,179.5,8.95,5,Automatic,2009
AUDI A6,AUDI,Diesel,66882,17.68,First,174.33,25.02,5,Automatic,2014
AUDI A6,AUDI,Diesel,58000,17.68,First,174.33,18.5,5,Automatic,2014
AUDI A6,AUDI,Diesel,50000,16.77,Third,241.38,21,5,Automatic,2011
AUDI A6,AUDI,Petrol,41000,10.4,Second,201,10.5,5,Automatic,2008
AUDI A6,AUDI,Diesel,45000,16.77,Second,241.38,11.5,5,Automatic,2008
AUDI A6,AUDI,Diesel,70998,17.68,First,174.33,20.57,5,Automatic,2013
AUDI A6,AUDI,Diesel,56000,18.53,First,187.74,24,5,Automatic,2014
AUDI A6,AUDI,Diesel,62000,18.53,First,187.74,25,5,Automatic,2014
AUDI A6,AUDI,Diesel,90000,12.4,Second,179.5,22.5,5,Automatic,2013
AUDI A6,AUDI,Diesel,50001,14.57,First,241.38,29,5,Automatic,2012
AUDI A6,AUDI,Diesel,27090,18.53,First,187.74,16.5,5,Automatic,2012
AUDI A6,AUDI,Diesel,42000,17.68,First,174.33,24.25,5,Automatic,2015
AUDI A6,AUDI,Diesel,36824,18.53,First,187.74,39.84,5,Automatic,2017
AUDI A6,AUDI,Diesel,78000,12.4,First,179.5,8,5,Automatic,2009
AUDI A6,AUDI,Diesel,54862,17.68,First,174.33,16.67,5,Automatic,2014
AUDI A6,AUDI,Diesel,112719,12.4,First,179.5,11.5,5,Automatic,2011
AUDI A6,AUDI,Petrol,22000,15.26,First,187.74,41.5,5,Automatic,2018
AUDI A6,AUDI,Diesel,56500,17.68,First,174.33,19.8,5,Automatic,2013
AUDI A6,AUDI,Diesel,50000,17.68,First,174.33,17.5,5,Automatic,2012
AUDI A6,AUDI,Diesel,52830,16.77,Second,241.38,8.08,5,Automatic,2009
AUDI A6,AUDI,Diesel,50000,16.77,Second,241.38,7.5,5,Automatic,2008
AUDI A6,AUDI,Diesel,35010,12.4,First,179.5,11.5,5,Automatic,2010
AUDI A6,AUDI,Diesel,50000,17.68,First,174.33,36,5,Automatic,2015
AUDI A6,AUDI,Diesel,20000,18.53,First,187.74,35.5,5,Automatic,2015
AUDI A6,AUDI,Diesel,37500,17.68,First,174.33,32,5,Automatic,2015
AUDI A6,AUDI,Diesel,85000,17.68,First,174.33,21,5,Automatic,2013
AUDI A6,AUDI,Diesel,55975,17.68,Second,174.33,35.92,5,Automatic,2017
AUDI A6,AUDI,Diesel,91903,17.68,First,174.33,17.56,5,Automatic,2013
AUDI A7,AUDI,Diesel,42000,14.4,First,241.4,28.75,5,Automatic,2011
AUDI A7,AUDI,Diesel,60336,14.4,Second,241.4,24.94,5,Automatic,2014
AUDI A7,AUDI,Diesel,24720,14.4,Second,241.4,28,5,Automatic,2012
AUDI A8,AUDI,Diesel,56000,11.8,First,246.7,45,5,Automatic,2012
AUDI A8,AUDI,Diesel,55000,11.8,First,246.7,13.5,5,Automatic,2009
AUDI Q3,AUDI,Diesel,64103,15.73,First,174.33,19.9,5,Automatic,2015
AUDI Q3,AUDI,Diesel,37542,15.73,First,174.33,25.71,5,Automatic,2017
AUDI Q3,AUDI,Diesel,86642,15.17,First,181,20.37,5,Automatic,2016
AUDI Q3,AUDI,Diesel,61000,15.73,First,174.33,25,5,Automatic,2015
AUDI Q3,AUDI,Diesel,76927,15.73,First,174.33,22.75,5,Automatic,2015
AUDI Q3,AUDI,Diesel,60000,15.73,First,174.33,20,5,Automatic,2014
AUDI Q3,AUDI,Diesel,84000,15.73,First,174.33,17.75,5,Automatic,2013
AUDI Q3,AUDI,Diesel,60000,15.73,Second,174.33,14.5,5,Automatic,2013
AUDI Q3,AUDI,Diesel,60000,17.32,First,184,21,5,Automatic,2013
AUDI Q3,AUDI,Diesel,45000,17.32,First,184,15.25,5,Automatic,2013
AUDI Q3,AUDI,Diesel,45000,17.32,First,184,27,5,Automatic,2016
AUDI Q3,AUDI,Diesel,58661,15.17,First,181,28.03,5,Automatic,2016
AUDI Q3,AUDI,Diesel,110000,15.73,First,174.33,19,5,Automatic,2015
AUDI Q3,AUDI,Diesel,48000,15.73,First,174.33,18.25,5,Automatic,2015
AUDI Q3,AUDI,Diesel,51000,15.17,First,181,27.5,5,Automatic,2015
AUDI Q3,AUDI,Diesel,48000,15.73,First,174.33,18.75,5,Automatic,2015
AUDI Q3,AUDI,Diesel,31000,18.51,First,147.51,27,5,Automatic,2017
AUDI Q3,AUDI,Diesel,38000,15.73,First,174.33,29,5,Automatic,2015
AUDI Q3,AUDI,Diesel,65000,15.73,Second,174.33,21.5,5,Automatic,2014
AUDI Q3,AUDI,Diesel,28000,15.73,First,174.33,23.75,5,Automatic,2015
AUDI Q3,AUDI,Diesel,22060,18.51,First,147.51,32.73,5,Automatic,2018
AUDI Q3,AUDI,Diesel,105000,17.32,First,150,19,5,Automatic,2013
AUDI Q3,AUDI,Diesel,42366,15.73,First,174.33,31.93,5,Automatic,2017
AUDI Q3,AUDI,Diesel,42000,15.73,First,174.33,23.5,5,Automatic,2016
AUDI Q3,AUDI,Diesel,60000,15.73,First,174.33,22,5,Automatic,2013
AUDI Q3,AUDI,Diesel,63716,15.73,First,174.33,23,5,Automatic,2013
AUDI Q3,AUDI,Diesel,65630,15.73,First,174.33,21.75,5,Automatic,2014
AUDI Q5,AUDI,Diesel,38000,14.16,Second,174.3,39,5,Automatic,2014
AUDI Q5,AUDI,Diesel,13452,12.8,First,167.6,25.46,5,Automatic,2013
AUDI Q5,AUDI,Diesel,40318,14.16,First,174.3,43.74,5,Automatic,2017
AUDI Q5,AUDI,Diesel,32496,13.22,First,241.4,45.62,5,Automatic,2018
AUDI Q5,AUDI,Diesel,43000,14.16,First,174.3,39.5,5,Automatic,2016
AUDI Q5,AUDI,Diesel,25000,12.19,First,236,44,5,Automatic,2014
AUDI Q5,AUDI,Diesel,11964,13.22,First,241.4,32.95,5,Automatic,2015
AUDI Q5,AUDI,Diesel,56000,14.16,First,174.3,35,5,Automatic,2015
AUDI Q5,AUDI,Diesel,38000,14.16,Second,174.3,38.95,5,Automatic,2014
AUDI Q5,AUDI,Diesel,42747,14.16,Second,174.3,39.47,5,Automatic,2015
AUDI Q5,AUDI,Diesel,53000,12.8,First,167.6,23,5,Automatic,2011
AUDI Q5,AUDI,Diesel,74500,14.16,Second,174.3,15,5,Automatic,2012
AUDI Q5,AUDI,Diesel,50000,14.16,First,174.3,35,5,Automatic,2014
AUDI Q5,AUDI,Diesel,44000,14.16,First,174.3,32.5,5,Automatic,2013
AUDI Q5,AUDI,Diesel,43827,13.22,First,241.4,36.83,5,Automatic,2017
AUDI Q5,AUDI,Diesel,87652,14.16,Second,174.3,25.71,5,Automatic,2014
AUDI Q5,AUDI,Diesel,60146,14.16,First,174.3,29.64,5,Automatic,2015
AUDI Q5,AUDI,Diesel,71000,14.16,First,174.3,21.5,5,Automatic,2013
AUDI Q5,AUDI,Diesel,63000,14.16,First,174.3,36,5,Automatic,2015
AUDI Q5,AUDI,Diesel,53900,14.16,First,174.3,29,5,Automatic,2014
AUDI Q5,AUDI,Diesel,63000,13.22,First,241.4,34.5,5,Automatic,2015
AUDI Q5,AUDI,Diesel,47293,14.16,First,174.3,38.72,5,Automatic,2016
AUDI Q5,AUDI,Diesel,80127,12.8,First,167.6,23.68,5,Automatic,2013
AUDI Q5,AUDI,Petrol,99100,9.74,Second,208,10,5,Automatic,2009
AUDI Q5,AUDI,Diesel,44999,12.8,First,167.6,25,5,Automatic,2014
AUDI Q5,AUDI,Diesel,72000,14.16,First,174.3,29,5,Automatic,2013
AUDI Q5,AUDI,Diesel,52000,14.16,First,174.3,25.49,5,Automatic,2015
AUDI Q5,AUDI,Diesel,12467,12.8,First,167.6,25.64,5,Automatic,2013
AUDI Q5,AUDI,Petrol,59967,9.74,First,208,18,5,Automatic,2011
AUDI Q5,AUDI,Diesel,29091,13.22,First,241.4,45.52,5,Automatic,2018
AUDI Q7,AUDI,Diesel,11287,12.07,First,241.4,70.36,7,Automatic,2018
AUDI Q7,AUDI,Diesel,97430,14.75,First,245,62.67,7,Automatic,2017
AUDI Q7,AUDI,Diesel,99000,12.07,Third,241.4,12.95,7,Automatic,2008
AUDI Q7,AUDI,Diesel,51002,11.33,First,335.2,48.91,7,Automatic,2016
AUDI Q7,AUDI,Diesel,79926,11.33,First,335.2,29.77,7,Automatic,2014
AUDI Q7,AUDI,Diesel,94000,12.07,Second,241.4,12,7,Automatic,2009
AUDI Q7,AUDI,Diesel,120300,12.07,Second,241.4,18,7,Automatic,2008
AUDI Q7,AUDI,Diesel,46983,12.07,Second,241.4,43.35,7,Automatic,2015
AUDI Q7,AUDI,Diesel,50000,11.33,First,335.2,51,7,Automatic,2014
AUDI Q7,AUDI,Diesel,53735,12.07,Second,241.4,38.94,7,Automatic,2015
AUDI Q7,AUDI,Diesel,65938,12.07,Second,241.4,38,7,Automatic,2015
AUDI Q7,AUDI,Diesel,20002,14.75,First,245,67,7,Automatic,2016
AUDI Q7,AUDI,Diesel,21000,12.07,First,241.4,48,7,Automatic,2015
AUDI Q7,AUDI,Diesel,6773,14.75,First,245,72.94,7,Automatic,2019
AUDI Q7,AUDI,Petrol,71000,8.3,First,250,11.99,7,Automatic,2008
AUDI Q7,AUDI,Diesel,88000,12.07,First,241.4,36.5,7,Automatic,2012
AUDI Q7,AUDI,Diesel,79000,12.07,First,241.4,39,7,Automatic,2012
AUDI Q7,AUDI,Diesel,98000,12.07,First,241.4,22,7,Automatic,2011
AUDI Q7,AUDI,Diesel,28733,12.07,Second,241.4,53.11,7,Automatic,2016
AUDI Q7,AUDI,Diesel,21000,12.07,Second,241.4,52.5,7,Automatic,2015
AUDI Q7,AUDI,Diesel,72132,12.07,Second,241.4,39,7,Automatic,2016
AUDI Q7,AUDI,Diesel,51076,12.07,First,241.4,34.88,7,Automatic,2014
AUDI Q7,AUDI,Diesel,91743,12.07,First,241.4,28.55,7,Automatic,2012
AUDI Q7,AUDI,Diesel,32545,12.07,First,241.4,48.76,7,Automatic,2016
AUDI Q7,AUDI,Diesel,72469,12.07,First,241.4,32.52,7,Automatic,2014
AUDI Q7,AUDI,Diesel,45180,12.07,First,241.4,50.22,7,Automatic,2016
AUDI Q7,AUDI,Diesel,50000,11.33,First,335.2,48,7,Automatic,2015
AUDI Q7,AUDI,Diesel,60000,12.07,First,241.4,45,7,Automatic,2014
AUDI Q7,AUDI,Diesel,102865,12.07,First,241.4,30.5,7,Automatic,2014
AUDI Q7,AUDI,Diesel,50000,12.07,First,241.4,47.5,7,Automatic,2015
AUDI Q7,AUDI,Diesel,73000,11.33,First,335.2,17.51,7,Automatic,2010
AUDI Q7,AUDI,Diesel,56238,11.33,First,335.2,51.69,7,Automatic,2015
AUDI Q7,AUDI,Diesel,59500,14.75,First,245,68,7,Automatic,2017
AUDI Q7,AUDI,Diesel,118218,12.07,First,241.4,31.41,7,Automatic,2014
AUDI Q7,AUDI,Diesel,45000,12.07,Second,241.4,37.9,7,Automatic,2014
AUDI Q7,AUDI,Diesel,31075,12.07,Second,241.4,49.79,7,Automatic,2016
AUDI Q7,AUDI,Diesel,58000,12.07,First,241.4,32,7,Automatic,2014
AUDI Q7,AUDI,Diesel,55662,12.07,First,241.4,42.83,7,Automatic,2015
AUDI RS5,AUDI,Petrol,23000,11.05,First,444,37,4,Automatic,2013
AUDI RS5,AUDI,Petrol,23312,11.05,First,444,40.5,4,Automatic,2013
AUDI TT,AUDI,Petrol,12100,9.9,First,207.8,29.5,2,Automatic,2013
AUDI TT,AUDI,Petrol,7000,14.33,First,226.6,35,4,Automatic,2012
AUDI TT,AUDI,Petrol,14262,9.9,First,207.8,27.35,2,Automatic,2014
BENTLEY CONTINENTAL,BENTLEY,Petrol,48000,8.6,First,552,59,4,Automatic,2006
BMW 1,BMW,Diesel,31821,20.58,First,143,17.22,5,Automatic,2015
BMW 1,BMW,Diesel,51000,20.58,Second,143,17,5,Automatic,2013
BMW 1,BMW,Diesel,46001,20.58,First,143,16,5,Automatic,2015
BMW 3,BMW,Diesel,32982,22.69,First,190,18.55,5,Automatic,2014
BMW 3,BMW,Diesel,56087,22.69,First,190,20.75,5,Automatic,2015
BMW 3,BMW,Diesel,48000,21.76,First,190,26.5,5,Automatic,2014
BMW 3,BMW,Diesel,30717,21.76,Second,190,25.99,5,Automatic,2015
BMW 3,BMW,Diesel,89616,16.07,First,181,11,5,Automatic,2011
BMW 3,BMW,Diesel,41000,21.76,First,190,25.5,5,Automatic,2015
BMW 3,BMW,Diesel,19235,21.76,First,190,36.5,5,Automatic,2016
BMW 3,BMW,Petrol,48394,12.05,First,154,10.49,5,Automatic,2010
BMW 3,BMW,Diesel,47000,18.88,First,184,25.5,5,Automatic,2014
BMW 3,BMW,Diesel,37500,18.88,First,184,16.75,5,Automatic,2013
BMW 3,BMW,Diesel,137000,13.2,Second,170,9,5,Automatic,2009
BMW 3,BMW,Diesel,69330,16.07,First,181,23.5,5,Automatic,2014
BMW 3,BMW,Diesel,38998,16.07,First,181,17,4,Automatic,2013
BMW 3,BMW,Diesel,100000,18.88,First,184,24.75,5,Automatic,2015
BMW 3,BMW,Diesel,58390,18.88,First,184,19.86,5,Automatic,2015
BMW 3,BMW,Diesel,14351,18.88,First,184,35.55,5,Automatic,2016
BMW 3,BMW,Diesel,38000,22.69,First,190,23.99,5,Automatic,2016
BMW 3,BMW,Diesel,99606,16.07,Second,181,10.5,5,Automatic,2011
BMW 3,BMW,Diesel,21983,18.88,First,184,16.5,5,Automatic,2013
BMW 3,BMW,Diesel,105000,13.2,Second,170,11,5,Automatic,2010
BMW 3,BMW,Diesel,62655,18.88,First,184,14.5,5,Automatic,2013
BMW 3,BMW,Diesel,65000,22.69,First,190,14,5,Automatic,2012
BMW 3,BMW,Petrol,49000,14.59,First,245,19,5,Automatic,2013
BMW 3,BMW,Diesel,37613,22.69,First,190,13.95,5,Automatic,2013
BMW 3,BMW,Diesel,10000,18.88,First,184,30,5,Automatic,2015
BMW 3,BMW,Diesel,30000,18.88,First,184,22,5,Automatic,2013
BMW 3,BMW,Diesel,58557,16.07,Third,181,8,5,Automatic,2009
BMW 3,BMW,Diesel,57156,18.88,Second,184,18,5,Automatic,2012
BMW 3,BMW,Diesel,32500,19.59,First,187.74,26.75,5,Automatic,2015
BMW 3,BMW,Diesel,69123,18.88,First,184,19,5,Automatic,2015
BMW 3,BMW,Petrol,75871,9.43,First,254,14.12,5,Automatic,2011
BMW 3,BMW,Diesel,83000,16.07,First,181,12.75,5,Automatic,2010
BMW 3,BMW,Diesel,100000,22.69,Second,190,10.9,5,Automatic,2011
BMW 3,BMW,Diesel,48000,22.69,First,190,21.6,5,Automatic,2014
BMW 3,BMW,Petrol,77849,10.9,Second,215,11.27,5,Automatic,2010
BMW 3,BMW,Petrol,70521,10.9,Second,215,10.3,5,Automatic,2009
BMW 3,BMW,Diesel,51000,16.07,First,181,7.75,5,Automatic,2010
BMW 3,BMW,Diesel,88000,13.2,First,170,15,5,Automatic,2012
BMW 3,BMW,Diesel,25000,22.69,First,190,17.99,5,Automatic,2013
BMW 3,BMW,Diesel,23806,22.69,First,190,33.66,5,Automatic,2017
BMW 3,BMW,Petrol,59660,12.05,First,154,10.49,5,Automatic,2010
BMW 3,BMW,Diesel,18600,22.69,Second,190,21,5,Automatic,2014
BMW 3,BMW,Diesel,58000,13.2,First,170,19.5,5,Automatic,2013
BMW 3,BMW,Petrol,39000,12.05,Second,154,15,5,Automatic,2012
BMW 3,BMW,Diesel,70000,18.88,First,184,17.55,5,Automatic,2014
BMW 3,BMW,Diesel,70000,22.69,First,190,10.3,5,Automatic,2011
BMW 3,BMW,Petrol,43706,10.9,First,215,9,5,Automatic,2011
BMW 3,BMW,Diesel,24000,18.88,First,184,28,5,Automatic,2018
BMW 3,BMW,Diesel,103905,22.69,First,190,9.92,5,Automatic,2009
BMW 3,BMW,Diesel,64000,16.07,First,181,10.5,5,Automatic,2011
BMW 3,BMW,Diesel,55389,18.88,First,184,28.45,5,Automatic,2017
BMW 3,BMW,Diesel,73336,13.2,First,170,10.69,5,Automatic,2010
BMW 3,BMW,Diesel,37000,22.69,Third,190,15,5,Automatic,2012
BMW 3,BMW,Diesel,48183,13.2,First,170,20.99,5,Automatic,2013
BMW 3,BMW,Diesel,87000,22.69,First,190,6.67,5,Automatic,2019
BMW 3,BMW,Diesel,85846,22.69,First,190,13.08,5,Automatic,2013
BMW 3,BMW,Diesel,61500,16.07,Second,181,8.5,5,Automatic,2009
BMW 3,BMW,Diesel,67000,22.69,Second,190,9.25,5,Automatic,2010
BMW 3,BMW,Diesel,170000,16.07,Third,181,9.75,5,Automatic,2008
BMW 3,BMW,Diesel,74000,16.07,Second,181,12.5,5,Automatic,2011
BMW 3,BMW,Diesel,27000,21.76,First,190,35,5,Automatic,2016
BMW 3,BMW,Diesel,69000,18.88,First,184,18.5,5,Automatic,2012
BMW 3,BMW,Diesel,31000,21.76,First,190,29.95,5,Automatic,2016
BMW 3,BMW,Diesel,80000,22.69,First,190,14.2,5,Automatic,2010
BMW 3,BMW,Diesel,56000,18.88,First,184,22.75,5,Automatic,2015
BMW 3,BMW,Diesel,55598,22.69,First,190,11.5,5,Automatic,2012
BMW 3,BMW,Diesel,38000,18.88,First,184,19.5,5,Automatic,2013
BMW 3,BMW,Diesel,76000,16.07,First,181,8.75,4,Automatic,2012
BMW 3,BMW,Diesel,58000,22.69,Second,190,15.3,5,Automatic,2012
BMW 3,BMW,Petrol,7000,12.05,First,154,9.75,5,Automatic,2011
BMW 3,BMW,Diesel,36255,19.59,First,184,33,5,Automatic,2015
BMW 3,BMW,Petrol,40000,12.05,Second,154,9.5,5,Automatic,2009
BMW 3,BMW,Diesel,23000,18.88,First,184,19.9,5,Automatic,2014
BMW 3,BMW,Diesel,58000,16.07,First,181,13.5,5,Automatic,2009
BMW 3,BMW,Diesel,51000,22.69,First,190,10.5,5,Automatic,2011
BMW 3,BMW,Diesel,74199,16.07,First,181,9.25,5,Automatic,2007
BMW 3,BMW,Diesel,70000,21.76,Second,190,27,5,Automatic,2016
BMW 3,BMW,Diesel,8000,19.59,First,187.74,33.75,5,Automatic,2017
BMW 3,BMW,Diesel,78000,16.07,Second,181,7.2,5,Automatic,2008
BMW 3,BMW,Diesel,21936,21.76,First,190,37.92,5,Automatic,2018
BMW 3,BMW,Diesel,89000,22.69,First,190,13.95,5,Automatic,2011
BMW 3,BMW,Diesel,71000,18.88,First,184,15,5,Automatic,2013
BMW 3,BMW,Petrol,31000,10.9,First,215,31,5,Automatic,2011
BMW 3,BMW,Diesel,81308,13.2,Second,170,7.95,5,Automatic,2008
